location,original_location_code,state,state_abb,location_name,population,location_type,hsa_counties,latitude,longitude
denver,688,Colorado,CO,"Denver, CO",2948626,hsa_nci_id,"Adams, Arapahoe, Clear Creek, Denver, Douglas, Elbert, Gilpin, Grand, Jefferson, Park, Summit",39.74,-104.98
mesa,711,Colorado,CO,"Mesa, CO",298361,hsa_nci_id,"Eagle, Garfield, Mesa, Pitkin, Rio Blanco",39.06,-108.55
colorado-springs,754,Colorado,CO,"Colorado Springs, CO",775090,hsa_nci_id,"Cheyenne, El Paso, Kit Carson, Lincoln, Teller",38.83,-104.82
weld,760,Colorado,CO,"Weld, CO",384657,hsa_nci_id,"Morgan, Washington, Weld, Yuma",40.42,-104.71
boulder,795,Colorado,CO,"Boulder, CO",403427,hsa_nci_id,"Boulder, Broomfield",40.01,-105.27
larimer,796,Colorado,CO,"Larimer, CO",363561,hsa_nci_id,Larimer,40.59,-105.08
colorado,All,Colorado,CO,Colorado,5810774,hsa_nci_id,,39.0,-105.55
savannah,143,Georgia,GA,"Savannah, GA",531382,hsa_nci_id,"Bryan, Chatham, Effingham, Evans, Liberty, Long, Tattnall",32.08,-81.1
floyd,154,Georgia,GA,"Floyd, GA",336814,hsa_nci_id,"Bartow, Chattooga, Floyd, Gordon, Polk",34.26,-85.16
hall,157,Georgia,GA,"Hall, GA",403526,hsa_nci_id,"Banks, Dawson, Habersham, Hall, Lumpkin, Towns, Union, White",34.3,-83.82
marietta,190,Georgia,GA,"Marietta, GA",769152,hsa_nci_id,Cobb,33.95,-84.55
macon,193,Georgia,GA,"Macon, GA",468099,hsa_nci_id,"Bibb, Bleckley, Crawford, Houston, Jones, Monroe, Peach, Pulaski, Taylor, Twiggs, Wilkinson",32.84,-83.63
henry,825,Georgia,GA,"Henry, GA",820822,hsa_nci_id,"Fayette, Forsyth, Henry, Rockdale, Walton",33.45,-84.15
cherokee,826,Georgia,GA,"Cherokee, GA",629169,hsa_nci_id,"Cherokee, Douglas, Paulding, Pickens",34.24,-84.49
athens,829,Georgia,GA,"Athens, GA",385812,hsa_nci_id,"Barrow, Clarke, Jackson, Madison, Oconee, Oglethorpe",33.96,-83.38
south-augusta,830,Georgia,GA,"South Augusta, GA",428239,hsa_nci_id,"Burke, Columbia, Jenkins, Lincoln, McDuffie, Richmond",33.47,-81.97
columbus,893,Georgia,GA,"Columbus, GA",274165,hsa_nci_id,"Chattahoochee, Harris, Marion, Muscogee, Schley, Stewart, Talbot, Webster",32.46,-84.99
la-grange,894,Georgia,GA,"La Grange, GA",252265,hsa_nci_id,"Coweta, Heard, Meriwether, Troup",33.04,-85.03
georgia,All,Georgia,GA,Georgia,10822590,hsa_nci_id,,32.68,-83.22
indianapolis,275,Indiana,IN,"Indianapolis, IN",1486315,hsa_nci_id,"Hendricks, Johnson, Marion, Morgan, Putnam, Rush, Shelby",39.77,-86.16
indiana,All,Indiana,IN,Indiana,6811752,hsa_nci_id,,39.77,-86.15
bangor,17,Maine,ME,"Bangor, ME",258041,hsa_nci_id,"Hancock, Penobscot, Piscataquis, Washington",44.8,-68.77
portland,9,Maine,ME,"Portland, ME",419733,hsa_nci_id,"Cumberland, Knox, Lincoln, Sagadahoc",43.66,-70.26
maine,All,Maine,ME,Maine,1377400,hsa_nci_id,,45.37,-69.24
baltimore,16,Maryland,MD,"Baltimore, MD",2619740,hsa_nci_id,"Anne Arundel, Baltimore, Calvert, Carroll, Howard",39.29,-76.61
frederick,48,Maryland,MD,"Frederick, MD",280341,hsa_nci_id,Frederick,39.41,-77.41
montgomery,869,Maryland,MD,"Montgomery, MD",2296252,hsa_nci_id,"Charles, Montgomery, Prince Georges, St. Marys",39.08,-77.15
harford,875,Maryland,MD,"Harford, MD",366875,hsa_nci_id,"Cecil, Harford",39.53,-76.35
maryland,All,Maryland,MD,Maryland,6170738,hsa_nci_id,,39.05,-76.64
worcester,101,Massachusetts,MA,"Franklin & Worcester Counties, MA",932586,hsa_nci_id,"Franklin, Worcester",42.26,-71.8
pittsfield,112,Massachusetts,MA,"Berkshire County, MA",128047,hsa_nci_id,Berkshire,42.45,-73.25
boston,22,Massachusetts,MA,"Boston Metro, South Shore, Cape & Islands, MA",3926620,hsa_nci_id,"Barnstable, Dukes, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk",42.36,-71.06
springfield,32,Massachusetts,MA,"Hampden & Hampshire Counties, MA",619448,hsa_nci_id,"Hampden, Hampshire",42.1,-72.59
new-bedford,68,Massachusetts,MA,"Bristol County, MA",578436,hsa_nci_id,Bristol,41.64,-70.93
lynn,74,Massachusetts,MA,"Essex County, MA",807258,hsa_nci_id,Essex,42.47,-70.95
massachusetts,All,Massachusetts,MA,Massachusetts,6992395,hsa_nci_id,,42.23,-71.83
st-paul,286,Minnesota,MN,"St. Paul, MN",1316374,hsa_nci_id,"Chisago, Dakota, Ramsey, Washington",44.94,-93.09
duluth,289,Minnesota,MN,"Duluth, MN",339559,hsa_nci_id,"Carlton, Cook, Itasca, Koochiching, Lake, Pine, St. Louis",46.78,-92.11
minneapolis,540,Minnesota,MN,"Minneapolis, MN",2222665,hsa_nci_id,"Anoka, Carver, Hennepin, Le Sueur, McLeod, Scott, Sherburne, Sibley, Wright",44.98,-93.26
st-cloud,588,Minnesota,MN,"St. Cloud, MN",283771,hsa_nci_id,"Benton, Meeker, Morrison, Stearns, Todd",45.56,-94.16
rochester,941,Minnesota,MN,"Rochester, MN",354439,hsa_nci_id,"Dodge, Fillmore, Mower, Olmsted, Steele, Wabasha, Winona",44.02,-92.47
minnesota,All,Minnesota,MN,Minnesota,5713716,hsa_nci_id,,46.28,-94.31
columbia,160,South Carolina,SC,"Columbia, SC",777957,hsa_nci_id,"Fairfield, Lexington, Newberry, Richland",34.0,-81.03
greenville,182,South Carolina,SC,"Greenville, SC",956963,hsa_nci_id,"Anderson, Greenville, Oconee, Pickens",34.85,-82.39
florence,184,South Carolina,SC,"Florence, SC",300052,hsa_nci_id,"Chesterfield, Darlington, Florence, Marlboro, Williamsburg",34.2,-79.76
charleston,212,South Carolina,SC,"Charleston, SC",874934,hsa_nci_id,"Berkeley, Charleston, Colleton, Dorchester, Hampton",32.78,-79.93
