location,location_name,state,state_abb,week_end_date,temp_avg_f,temp_max_f,temp_min_f,humidity_avg_pct,humidity_abs_gm3,precip_total_mm
athens,"Athens, GA",Georgia,GA,2016-02-06,39.9,50.1,29.8,57.0,3.72,0.0
athens,"Athens, GA",Georgia,GA,2016-02-13,38.0,57.3,26.5,51.4,3.12,0.0
athens,"Athens, GA",Georgia,GA,2016-02-20,44.4,62.5,27.3,71.0,5.46,13.4
athens,"Athens, GA",Georgia,GA,2016-02-27,50.8,66.4,30.2,76.0,7.34,55.2
athens,"Athens, GA",Georgia,GA,2016-03-05,49.8,69.5,34.8,68.3,6.37,13.9
athens,"Athens, GA",Georgia,GA,2016-03-12,60.5,78.3,37.0,72.3,9.76,0.0
athens,"Athens, GA",Georgia,GA,2016-03-19,65.0,80.5,49.7,65.7,10.29,12.2
athens,"Athens, GA",Georgia,GA,2016-03-26,56.0,74.0,36.3,66.6,7.7,6.7
athens,"Athens, GA",Georgia,GA,2016-04-02,61.5,73.2,43.8,75.1,10.48,77.0
athens,"Athens, GA",Georgia,GA,2016-04-09,55.9,73.1,43.5,52.1,6.02,7.1
athens,"Athens, GA",Georgia,GA,2016-04-16,58.4,72.1,37.4,62.9,7.88,7.7
athens,"Athens, GA",Georgia,GA,2016-04-23,65.5,83.9,45.2,59.0,9.41,15.3
athens,"Athens, GA",Georgia,GA,2016-04-30,71.7,88.7,53.9,63.6,12.38,6.7
athens,"Athens, GA",Georgia,GA,2016-05-07,65.8,83.7,48.1,64.6,10.39,18.8
athens,"Athens, GA",Georgia,GA,2016-05-14,73.1,87.0,57.2,58.0,11.8,6.1
athens,"Athens, GA",Georgia,GA,2016-05-21,65.3,79.0,52.3,74.3,11.73,54.8
athens,"Athens, GA",Georgia,GA,2016-05-28,72.0,85.5,55.5,60.7,11.92,0.5
athens,"Athens, GA",Georgia,GA,2016-06-04,76.8,91.4,61.9,71.7,16.43,16.4
athens,"Athens, GA",Georgia,GA,2016-06-11,76.4,92.2,63.4,66.9,15.13,17.4
athens,"Athens, GA",Georgia,GA,2016-06-18,81.8,95.8,71.6,65.6,17.5,15.4
athens,"Athens, GA",Georgia,GA,2016-06-25,82.0,98.6,64.3,52.0,13.98,0.0
athens,"Athens, GA",Georgia,GA,2016-07-02,81.8,94.7,69.6,66.4,17.74,25.8
athens,"Athens, GA",Georgia,GA,2016-07-09,83.7,96.1,73.6,65.3,18.51,17.8
athens,"Athens, GA",Georgia,GA,2016-07-16,82.7,95.4,70.5,67.9,18.61,14.0
athens,"Athens, GA",Georgia,GA,2016-07-23,82.4,95.1,71.6,73.7,20.09,17.9
athens,"Athens, GA",Georgia,GA,2016-07-30,84.7,96.4,75.0,62.6,18.27,1.0
athens,"Athens, GA",Georgia,GA,2016-08-06,81.4,96.4,72.9,77.1,20.39,27.1
athens,"Athens, GA",Georgia,GA,2016-08-13,80.6,94.3,73.2,78.6,20.26,17.8
athens,"Athens, GA",Georgia,GA,2016-08-20,82.0,94.0,72.7,73.0,19.64,23.1
athens,"Athens, GA",Georgia,GA,2016-08-27,80.5,93.6,68.7,72.1,18.54,7.2
athens,"Athens, GA",Georgia,GA,2016-09-03,79.6,92.1,66.6,68.0,16.99,20.0
athens,"Athens, GA",Georgia,GA,2016-09-10,80.4,94.6,67.1,56.6,14.46,0.0
athens,"Athens, GA",Georgia,GA,2016-09-17,79.0,92.1,68.7,69.0,16.93,10.3
athens,"Athens, GA",Georgia,GA,2016-09-24,78.7,92.0,69.2,67.4,16.36,7.7
athens,"Athens, GA",Georgia,GA,2016-10-01,74.4,92.4,55.8,58.0,12.31,5.8
athens,"Athens, GA",Georgia,GA,2016-10-08,71.9,86.9,59.1,64.4,12.64,6.2
athens,"Athens, GA",Georgia,GA,2016-10-15,66.4,83.8,50.8,58.0,9.5,1.4
athens,"Athens, GA",Georgia,GA,2016-10-22,70.3,88.1,51.7,57.9,10.76,0.6
athens,"Athens, GA",Georgia,GA,2016-10-29,66.6,84.7,47.9,51.7,8.54,0.3
athens,"Athens, GA",Georgia,GA,2016-11-05,69.2,85.8,53.0,57.3,10.29,0.0
athens,"Athens, GA",Georgia,GA,2016-11-12,59.0,73.9,44.8,43.9,5.62,0.0
athens,"Athens, GA",Georgia,GA,2016-11-19,56.4,77.6,39.3,55.3,6.48,6.7
athens,"Athens, GA",Georgia,GA,2016-11-26,53.5,72.9,38.5,47.3,5.02,0.8
athens,"Athens, GA",Georgia,GA,2016-12-03,54.9,72.2,38.3,64.7,7.21,24.1
athens,"Athens, GA",Georgia,GA,2016-12-10,45.3,58.9,27.7,76.0,6.04,95.9
athens,"Athens, GA",Georgia,GA,2016-12-17,43.9,62.4,29.8,75.9,5.74,9.2
athens,"Athens, GA",Georgia,GA,2016-12-24,48.8,66.4,30.9,74.1,6.67,7.0
athens,"Athens, GA",Georgia,GA,2016-12-31,52.1,70.8,32.0,73.3,7.4,14.6
athens,"Athens, GA",Georgia,GA,2017-01-07,46.2,63.2,23.7,80.9,6.64,104.4
athens,"Athens, GA",Georgia,GA,2017-01-14,46.9,70.1,18.8,72.7,6.12,0.6
athens,"Athens, GA",Georgia,GA,2017-01-21,60.3,70.7,49.9,82.7,11.07,48.8
athens,"Athens, GA",Georgia,GA,2017-01-28,49.8,66.7,33.2,68.7,6.41,42.6
athens,"Athens, GA",Georgia,GA,2017-02-04,48.0,66.9,30.7,63.0,5.51,3.2
athens,"Athens, GA",Georgia,GA,2017-02-11,50.5,67.0,30.9,73.3,7.0,20.0
athens,"Athens, GA",Georgia,GA,2017-02-18,53.0,71.1,36.7,63.4,6.63,17.6
athens,"Athens, GA",Georgia,GA,2017-02-25,59.6,73.5,45.2,75.4,9.87,3.7
athens,"Athens, GA",Georgia,GA,2017-03-04,51.5,75.7,33.4,60.1,5.95,17.4
athens,"Athens, GA",Georgia,GA,2017-03-11,55.6,70.2,36.0,59.4,6.79,14.3
athens,"Athens, GA",Georgia,GA,2017-03-18,42.9,65.4,25.4,63.1,4.59,16.9
athens,"Athens, GA",Georgia,GA,2017-03-25,58.4,80.0,39.1,61.1,7.67,11.9
athens,"Athens, GA",Georgia,GA,2017-04-01,65.8,79.5,50.5,69.6,11.18,19.2
athens,"Athens, GA",Georgia,GA,2017-04-08,60.0,78.5,40.5,66.1,8.77,59.2
athens,"Athens, GA",Georgia,GA,2017-04-15,65.2,80.2,38.7,61.9,9.77,0.8
athens,"Athens, GA",Georgia,GA,2017-04-22,70.0,83.7,58.6,67.3,12.42,13.9
athens,"Athens, GA",Georgia,GA,2017-04-29,66.4,85.9,51.8,80.7,13.25,56.1
athens,"Athens, GA",Georgia,GA,2017-05-06,65.4,85.3,47.7,63.7,10.1,31.7
athens,"Athens, GA",Georgia,GA,2017-05-13,69.3,89.6,47.3,62.7,11.3,15.2
