"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-02-07","colorado",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.514231992448867
"2026-02-07","denver",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.390336747461572
"2026-02-07","mesa",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.0306439260522072
"2026-02-07","colorado-springs",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.385554662365142
"2026-02-07","weld",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0
"2026-02-07","boulder",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.488374292621301
"2026-02-07","larimer",0,"Flu ED visits pct","2026-02-07","quantile",0.025,0.251440115764783
"2026-02-07","colorado",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.575148669406807
"2026-02-07","denver",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.470737841994393
"2026-02-07","mesa",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.142518725364809
"2026-02-07","colorado-springs",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.489137811947707
"2026-02-07","weld",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0
"2026-02-07","boulder",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.707385651059481
"2026-02-07","larimer",0,"Flu ED visits pct","2026-02-07","quantile",0.05,0.36610731722271
"2026-02-07","colorado",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.660054995824393
"2026-02-07","denver",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.558168005324086
"2026-02-07","mesa",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.36112574987644
"2026-02-07","colorado-springs",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.605223144744494
"2026-02-07","weld",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0
"2026-02-07","boulder",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.888963782571827
"2026-02-07","larimer",0,"Flu ED visits pct","2026-02-07","quantile",0.1,0.509355650299934
"2026-02-07","colorado",0,"Flu ED visits pct","2026-02-07","quantile",0.25,0.796209490981672
"2026-02-07","denver",0,"Flu ED visits pct","2026-02-07","quantile",0.25,0.702114218268546
"2026-02-07","mesa",0,"Flu ED visits pct","2026-02-07","quantile",0.25,0.789567265123318
