location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.723378669263598
austin,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0035728272293862
baltimore,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3477426619447422
bangor,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5565512629757046
beaumont,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4901470231640179
boston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.528906399285141
boulder,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2412664908166164
charleston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9912997404859365
cherokee,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7705575869129425
clt-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.9825726247465887
colorado,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8645271741010457
colorado-springs,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6692444657117627
columbia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5652676319969486
columbus,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9663758942923192
dallas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9387584566110668
denver,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9412551185267533
deschutes,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9308628417945431
duluth,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5764787425047779
el-paso,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5245833211403867
eugene,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.040822574766976
fay-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.9864090727213168
