location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
clt-area,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.5480136581614795
fay-area,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.47857786767643656
nenc,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.053988501816185454
north-carolina,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.22514040840070376
rtp-area,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.033592575199963136
senc,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.01284360183821946
triad-area,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.17921375422356053
wnc,2026-05-16,0,2026-05-16,Flu ED visits pct,quantile,0.025,0.04665831205616702
clt-area,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.4266711454509094
fay-area,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.36595116735296074
nenc,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.042509584989721294
north-carolina,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.1872167513829685
rtp-area,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.026210510331108328
senc,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.008072899107701927
triad-area,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.15076717254590583
wnc,2026-05-16,1,2026-05-23,Flu ED visits pct,quantile,0.025,0.03505589227312542
clt-area,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.29987192319290146
fay-area,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.27463007997218897
nenc,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.033118677316461974
north-carolina,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.14854353288950156
rtp-area,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.020863781308516266
senc,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.004193078632496752
triad-area,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.1205522533261371
wnc,2026-05-16,2,2026-05-30,Flu ED visits pct,quantile,0.025,0.02641819988824954
clt-area,2026-05-16,3,2026-06-06,Flu ED visits pct,quantile,0.025,0.21214834611268546
