location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8393794298743167
austin,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0622716795963607
baltimore,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3370246622058338
bangor,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6399745711406989
beaumont,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.501766893086908
boston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5621379327586454
boulder,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3830832515381348
charleston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0030097643675815
cherokee,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9980428732628577
clt-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,2.0525367054218693
colorado,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1102207510824007
colorado-springs,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8081315288116679
columbia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6918569073158473
columbus,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9319454434506167
dallas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1270750477936535
denver,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1587412192210937
deschutes,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9485935978822204
duluth,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6656796419306023
el-paso,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5465274036018652
eugene,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1873696432209828
fay-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.975283812703782
florence,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6142833515107823
floyd,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9415449766303015
frederick,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3464256413012285
georgia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.846882800419267
greenville,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1133316111795337
hall,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5322349823056327
harford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.20959021412033776
henry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5660887386631481
horry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.628400329665086
houston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5027593815217958
indiana,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.608487206439092
indianapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,2.0427417608050953
la-grange,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6064639428893367
larimer,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4931088500221884
lynn,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4733532219307685
macon,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.47340950969828555
maine,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6200730021161874
marietta,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5899870559895332
maryland,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.48562418428866455
massachusetts,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6220125660468617
medford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7124242456584893
mesa,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5027171713804817
minneapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9863849713933355
minnesota,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1566821533198077
montgomery,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4010771092157855
nenc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0503511809475565
new-bedford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7403354509696576
north-carolina,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3297652355713627
