location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0705950296944486
austin,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2917777235444887
baltimore,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.3386054586031308
bangor,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.813344125769603
beaumont,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5717285313554874
boston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7353125757431307
boulder,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.5503330677331386
charleston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2355715367291311
cherokee,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.182664401925891
clt-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.9445914258142682
colorado,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.265607245591437
colorado-springs,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9046029891757672
columbia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8807727628335323
columbus,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1892561471290202
dallas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2237280915239421
denver,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3771672250141755
deschutes,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2057753651994025
duluth,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8184848060081931
el-paso,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7349567654446506
eugene,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3649036175002365
fay-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.9985296671022754
florence,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7457709405540343
floyd,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2227407709563143
frederick,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5696045589157813
georgia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9310261003816804
greenville,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.261060017140456
hall,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7576349964101103
harford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.258290186791261
henry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.712067345544265
horry,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.785327529101651
houston,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6332769061294636
indiana,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.6849479784206234
indianapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,2.2471539784470322
la-grange,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7919952354899826
larimer,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.854257499205837
lynn,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6159236335156071
macon,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5235730611405185
maine,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7528177269169061
marietta,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6519236102651412
maryland,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5305932925209829
massachusetts,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.7940623965025243
medford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8639968263658298
mesa,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.6543297696248681
minneapolis,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2068735946898088
minnesota,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.375860234277913
montgomery,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.4386084763167664
nenc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0595741479678822
new-bedford,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9415606932816492
north-carolina,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3668260940714188
nyc,2026-03-07,0,2026-03-07,ILI ED visits pct,quantile,0.025,1.990161581576536
ogden,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0376115167246085
oregon,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.408304696837756
pittsfield,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.24432302102620435
portland,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.45978285646749634
portland-or,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.5672116554647704
provo,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.38843243236492286
roanoke,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.6831143832909519
rochester,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.5628056099877463
rock-hill,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.07876471233434998
rtp-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0812138833883396
salem,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.45596724984301
salt-lake-city,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0777065624105413
san-antonio,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,2.115571860075914
savannah,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.32148953217755916
senc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5597796249300919
south-augusta,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9948400647136595
south-carolina,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.201184400429514
springfield,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.5932912517121343
st-cloud,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1415581598409126
st-paul,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.1896526839462056
texas,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.2281995779624522
triad-area,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8651974244900958
utah,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.0218756122582835
virginia,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,1.3257575734033382
weld,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9633051132028275
wnc,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.9541339740713419
worcester,2026-03-07,0,2026-03-07,Flu ED visits pct,quantile,0.025,0.8266564180656386
athens,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.835033285898273
austin,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.996561963236053
baltimore,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.2972413578046172
bangor,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6230123237479285
beaumont,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.4362247461834607
boston,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6128124570522329
boulder,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.12715026059551
charleston,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.8835763460647106
cherokee,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.8882537142632131
clt-area,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.4519268855379248
colorado,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.040151239733179
colorado-springs,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.7018100267027861
columbia,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6467326462987126
columbus,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.8590782573240022
dallas,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.9720340135387902
denver,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.1161606506754076
deschutes,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.9422671540453681
duluth,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6383750641664853
el-paso,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6641742454457442
eugene,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.9273812586754467
fay-area,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.4497682218282186
florence,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5475756625278626
floyd,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.91708780654848
frederick,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.4783026607686105
georgia,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.7323441402607818
greenville,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.9356198549013531
hall,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5808344334524798
harford,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.2356938244281114
henry,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5216140043580596
horry,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5954563322254657
houston,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5549387688518176
indiana,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.2713781431219926
indianapolis,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.6110758848542586
la-grange,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5775730826264939
larimer,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6008787105939067
lynn,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5202052561382019
macon,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.3933284944773066
maine,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5821168334853718
marietta,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.458205118743644
maryland,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.47287551027248537
massachusetts,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.6920764747783524
medford,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5843549383879387
mesa,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.5024887469871882
minneapolis,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.9948762701870482
minnesota,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.1227322958336095
montgomery,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.3910726569637135
nenc,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.7813781966461555
new-bedford,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.7656018231379595
north-carolina,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.0349220680750533
nyc,2026-03-07,1,2026-03-14,ILI ED visits pct,quantile,0.025,1.8980713563789582
ogden,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.7881841921618218
oregon,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.0340842191424013
pittsfield,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.19823151503076877
portland,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.36552390608994423
portland-or,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,1.1662541458588809
provo,2026-03-07,1,2026-03-14,Flu ED visits pct,quantile,0.025,0.31146587465221515
