location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.7886482521137019
austin,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,2.6628453107026746
baltimore,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.2832618901225545
bangor,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.9847927864327991
beaumont,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.1190976812217988
boston,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.6274892216433112
boulder,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.372175029553271
charleston,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,2.2477087357668197
cherokee,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.5271643015443293
clt-area,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.4759891175552935
colorado,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.9855914942019
colorado-springs,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.0085488214185305
columbia,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.1980867800216717
columbus,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.6753996407163732
dallas,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.840258148678286
denver,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.9071586938211786
deschutes,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,2.3411952060377783
duluth,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.5596162485503321
el-paso,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,0.4324949024665084
eugene,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.9179085252629324
fay-area,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,2.0528408842847314
florence,2026-02-21,0,2026-02-21,Flu ED visits pct,quantile,0.025,1.3501606332298173
