location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.11276744467455375
austin,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.9391629046690506
baltimore,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.13270323019800725
bangor,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.1821157745738812
beaumont,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.36491912017062594
boston,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.21029784012976632
boulder,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.527407431168102
charleston,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.2250224592260703
cherokee,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.23908757126878308
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4772025566929384
colorado,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.28225019347263314
colorado-springs,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.29488030631610823
columbia,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2524102448101962
columbus,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.8154677138804671
dallas,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.221191530496211
denver,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.29817810760719893
deschutes,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.3940365752271533
duluth,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.14354878865383408
el-paso,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.07158512194519316
eugene,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.069033052335399
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.7098963089372328
florence,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.7134315342435613
floyd,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.22401792700781908
frederick,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.08835448461641103
georgia,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.41263030076181173
greenville,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.3570598540642274
hall,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.16943833537188285
harford,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.11060549405091936
henry,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.1496693159844387
horry,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.415076444458553
