location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.21088475004756627
austin,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.3096963373361332
baltimore,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.360856119576138
bangor,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.28231988069069724
beaumont,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6392788447281326
boston,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.47360772857611744
boulder,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6543998495003015
charleston,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.5564053980354382
cherokee,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4012484442953686
clt-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.3355410455324146
colorado,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.42275657682354467
colorado-springs,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4630787430748832
columbia,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5377504951050661
columbus,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.1906492350914033
dallas,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.5802365009872008
denver,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5363666893628967
deschutes,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.9876575208149923
duluth,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2239620748266148
el-paso,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.3556955690078352
eugene,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.89480322269076
fay-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.0070940147861287
florence,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.7579500169474434
floyd,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.34039906054226754
frederick,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.18383603786834088
georgia,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5251015303008569
greenville,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6044201998558408
hall,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2792776800267661
harford,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.20564071016163968
henry,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2993280329656557
horry,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6500356693942984
houston,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5812256347295631
indiana,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.7205939482671518
indianapolis,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.0341053504312139
la-grange,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4515284039563969
larimer,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.30633802865500037
lynn,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5349401192548439
macon,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5971480631174982
maine,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6156641704496818
marietta,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2504815750042072
maryland,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4396241103775656
massachusetts,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.46605197600661874
medford,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.1331375785900266
mesa,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.36076236259940464
minneapolis,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5130484727488042
minnesota,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.6464373212262152
montgomery,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.4903475723253381
nenc,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.8657776175932596
new-bedford,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.428951542559239
north-carolina,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.1937497342795769
nyc,2026-02-07,0,2026-02-07,ILI ED visits pct,quantile,0.025,1.7829971511372305
ogden,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.7243581065268332
oregon,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.6129471534425144
pittsfield,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.2479136849596818
portland,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.38488359548285367
portland-or,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.518955120365911
provo,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.5005082901068282
roanoke,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.3758271290033646
rochester,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.6034304875014724
rock-hill,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,0.24593159571014017
rtp-area,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,1.5336725763118526
salem,2026-02-07,0,2026-02-07,Flu ED visits pct,quantile,0.025,2.686060927894168
